Temp,D.O. (mg/l),PH,B.O.D. (mg/l),TOTAL COLIFORM (MPN/100ml)Mean
30.6,6.7,7.5,NAN,27
29.8,5.7,7.2,2,8391
29.5,6.3,6.9,1.7,5330
29.7,5.8,6.9,3.8,8443
29.5,5.8,7.3,1.9,5500
30,5.5,7.4,1.5,4049
29.2,6.1,6.7,1.4,5672
29.6,6.4,6.7,1,9423
30,6.4,7.6,2.2,4990
30.1,6.3,7.6,2.3,4301
27.8,7.1,7.1,1.2,7817
27.9,6.7,6.4,1.4,3433
29.3,7.4,6.8,1.7,18125
29.2,6.9,7,1.1,6300
30,6,7.5,1.6,9517
29,7.3,7,1.5,2453
29.1,7.3,7,1,3048
28.7,7,6.9,1.2,6742
28.7,7.3,6.7,1.5,3052
29.5,5.3,6.8,1.8,10250
29,6.3,6.4,1.6,12842
29.4,5.4,7.6,1.4,6367
28.3,2.2,6.5,4.7,14920
30.1,5.2,7.1,2.6,8925
30.3,5.6,7.5,1.8,5082
30.5,5.5,7.4,1.5,8625
29.1,7.3,6.7,1.4,4003
30.1,6.5,7.5,2,1538
29.2,7.2,6.3,1.5,13575
25.1,6.6,7.8,4.9,36
29.6,6.9,7.9,5,34
27.4,6.8,7.7,5.2,23
27.8,6.7,7.8,4.9,29
30.6,5.1,7.3,10.3,83
25,5.6,7.9,3.6,164
25,6.4,7.6,5.7,45
25,5.5,7.4,7.7,67
25.3,5.3,7.7,9.9,304
25.1,6.7,7.6,4.8,76
26.1,3.6,7.4,31.3,474
21.4,7.2,7.7,3.1,130
27.4,5.9,7.4,6.4,68
27.1,5.4,7.5,7.4,116
27.2,5.8,7.3,5.4,78
27.3,5.9,7.4,5.1,60
27,6,7.3,8.5,58
27.2,6.1,7.3,6.1,63
27,5.9,7.4,6.4,47
22.6,6.3,7.8,4.6,32
28.4,6.7,7.3,3.5,0
28,6.8,7.2,3.1,0
27.6,6.8,7.3,3.3,0
27.9,6.9,7.3,3.3,0
28.1,6.9,7.3,3.4,0
27.1,6.8,7.9,4.9,28
27.6,6.6,8.1,4.6,32
27.3,6.7,8,5,33
27.8,6.7,7.8,4.9,35
28,5.9,7.7,5.5,51
28.1,6.3,7.6,4.6,31
28.6,6.6,7.6,4.7,31
26.9,6.8,7.7,5,34
23,7.1,7.4,2.7,30
23,7,7.4,2.7,40
23,7.2,7.2,2.7,70
25.1,6.7,7.5,1.4,420
24.6,5.8,7.4,1.4,691
25.7,6.6,7.5,1.4,448
24.8,6.7,7.5,1.4,443
27.3,6.7,6.9,0.9,172
27.5,6.5,6.7,1.2,304
25.2,6.3,6.9,1.6,2008
29.9,7,7.4,0.7,590
29.8,6.6,7.7,1.6,661
27.8,6.9,6.9,1.1,531
26.7,7,7.5,0.8,3583
25.8,6.7,7.4,0.8,1969
26.4,7.2,7.4,0.7,1311
29.8,7.5,7.2,1.1,590
28.6,3,6.6,1.7,530
26.9,5.9,7.4,0.7,2803
26,6.7,7.5,1.6,473
23.6,6.1,7.4,2,550
30.3,6.7,6.9,1.7,350
30.7,6.9,6.8,1.6,206
28.7,2.1,6.8,1.6,694
28.2,2.5,6.9,1.9,656
24.8,7.2,7.6,1.4,426
26.3,3.7,7.7,1.2,60392
29.2,6.1,7.6,1.2,718
26.6,6.7,7.6,0.5,71
30.4,7.6,7.1,1.2,961
25.5,1.9,7.7,26.9,37375
25.1,7.4,7,0.1,409
28.9,6.4,7.2,1.3,535
28.8,5.4,6.7,1.1,144
29.3,5.6,7.3,1.6,705
29.5,7.1,8,1.2,697
28.4,5.9,6.8,1.5,166
26.9,7.4,6.9,1.1,159
25.8,7.2,7.2,0.7,658
26.6,6.5,7.4,0.6,7018
25.3,6.8,7.1,0.8,1268
28.2,6.8,6.9,1.7,660
28.5,6.6,7,1.4,822
27.6,6.4,7.7,0.6,88
29,7.3,6.9,1.9,825
27.5,6.8,6.6,0.5,2950
30,5.6,7.2,2.1,447
27.8,6.9,6.8,0.6,3375
30.2,7.1,6.8,1.8,468
30.8,6.2,7.2,1.5,542
25.3,6.7,7.1,0.6,626
25.3,7.2,7,0.6,433
25.8,6,7.6,1.3,523
27.2,5.2,6.8,0.6,313
28.1,4.8,6.8,0.7,332
28.3,3.9,6.9,0.5,284
28.1,5,6.9,1.8,667
27.7,7,7,1.1,541
28,6.3,6.9,1.2,815
28.2,6.2,6.9,1.3,1007
28,5.7,6.8,1.9,759
28.1,5.7,6.9,3.1,1205
28.1,6.6,7.1,1.3,785
28.1,6.6,7,1.3,472
27.3,6.5,6.5,0.9,188
28.3,6.7,6.3,0.9,610
29.1,4.3,7.2,1.8,796
28.7,4.6,6.7,1.5,171
28.5,7.7,6.9,1.6,554
26.6,5.8,6.5,1,151
31,4.5,6.9,2.1,230
30.5,6.9,7.2,1.3,643
28.8,6.6,7,0.9,103
25.3,6.9,7.5,0.6,1633
25.9,5.5,7.6,1.3,141
26.5,5.4,7.8,0.8,107
18.9,7.1,7.8,0.7,1238
20.5,6.9,8,0.9,1563
27.1,7.3,7.3,2.4,65
26.3,7.5,7.5,2.1,74
29.1,6.4,7.2,1,1223
28.4,6.5,7.1,1,1342
24.7,7.7,7.9,1.3,40500
24.4,7.5,7.8,2.1,53556
22.7,7.3,7.2,0.7,13810
24.8,7.4,7.9,0.7,15213
24,7.4,7.8,1.9,12473
22.8,7.5,8,1.7,30319
26.8,7.2,8,1.5,4314
27.4,6.6,7.8,1.5,4224
25.3,7.5,7.9,1,8559
27.1,7.4,7.9,0.8,16709
29,NAN,7.3,NAN,NAN
25,5.9,7.9,NAN,NAN
25,6.5,7.3,NAN,NAN
25,6.5,7.7,NAN,NAN
32,6,7.1,NAN,NAN
29.3,6.5,7.4,2,374
22.8,6.8,6.6,2.9,36
24.5,6.6,6.4,2.5,41
25.5,6.6,6.5,2.5,45
29,6.7,6.9,2.2,38
23.8,6.7,6.3,2.7,32
22.8,6.7,6.4,4.6,34
29,6.6,7.2,2.7,60
29,6.7,7,2.5,51
23,6.6,6.2,2.5,38
29,6.8,6.9,2.5,48
25.7,6.5,6.6,2.4,41
25.7,6.6,6.7,2.5,34
24.3,0.9,7.6,104.5,511090873
NAN,NAN,NAN,NAN,NAN
22.7,5.8,7.2,6,4073
19,4.8,7.6,22,52500
23,5.5,7.3,10,5433
24,5.1,7.4,23.7,50333
24.7,5.5,7.4,10,29333
25,5,7.6,16.3,21667
22,4.9,7.7,27.5,72000
24.3,5,7.3,19.3,39533
23.3,5.3,7.2,13.3,7133
19.5,4.9,7.7,21,49500
21.5,4.1,7.5,23,57500
20,4.8,7.4,17,38000
NAN,NAN,8.2,19.8,NAN
NAN,NAN,7.9,18.2,NAN
32.6,4,6.8,3,9
23.6,7.8,7.8,1.3,17
23.9,7.7,7.7,1.3,22
24.5,7.6,7.9,1.6,22
NAN,NAN,7.2,88,NAN
18.1,4.4,7.1,41,224
25.1,5.9,8,0.9,15
22.3,6,7.2,0.8,15
23.7,5.6,7.9,1.1,4
23.9,6.2,8.1,1,6
25.5,7.2,7.5,2.3,74
25.1,7.2,7.5,2.3,67
25.2,7.5,7.3,1.8,70
23.2,7.5,7.5,2.4,506
20.1,5.3,3.3,7.7,36
18.3,7.2,7.2,1.7,42
19.3,7.5,7.2,1.6,44
24,7.8,7,2.3,108
20.5,6.7,2.7,3.3,16
21.2,7.3,6.6,2.5,386
26.3,7.4,7.3,1.8,55
25.5,7.2,7.4,2,61
20,7.3,7.1,1.9,53
20.3,7.3,7.1,2,50
19.4,6.6,7.1,2.6,3108
21,7.3,5.6,1.8,34
19.2,5.1,7,3.6,780
18.3,7.3,7.1,1.6,40
19.6,7.7,7.2,1.6,36
23.7,7.6,7.3,2.1,528
18.2,6.2,7,2.4,79
18.8,7.2,7.1,1.9,63
18.9,7.4,7.1,1.5,40
25.1,7.5,7.4,1.7,59
18.8,7.1,7.1,1.9,48
20.2,7.3,7.2,1.9,48
20,7.3,7.3,2,54
18.5,1.5,6.9,33.9,34251
18.8,3.9,7.1,17,22223
18.3,1,7.2,57.2,83554
18.5,0.9,7.2,61.1,106333
18.2,7.2,7,1.9,60
22.1,7.7,7.2,1.6,59
17.6,7.3,6.9,2.2,52
18.7,1.2,7.1,45.7,94083
18.7,3.2,7.1,23.5,54083
23.1,7.2,7.2,6.9,552
22.6,7.2,7.1,2.1,120
20,7.5,7.3,1.9,42
19.9,7.6,7.3,1.9,43
24.5,7.1,7.3,1.4,115
24.4,7.2,7.3,1.5,68
23.6,6.9,7.1,1.6,29
23.5,6.8,7.1,1.4,86
27.3,6.2,7.8,2.1,340
29.1,6.4,7.8,4.1,500
26.6,6.6,7.9,4.2,572
NAN,NAN,0,NAN,NAN
27.1,7.3,7.9,0.5,173
27.3,5,7.6,1.8,174
NAN,NAN,0,NAN,227
24.5,6,7.7,8.6,1183
NAN,NAN,NAN,NAN,24
27.5,5.3,7.8,2.8,23
28.3,4.3,7.8,103.8,1817
28.4,4.5,8.3,1.5,5
NAN,NAN,NAN,NAN,2
27.6,6.8,8.2,2.5,64
NAN,5,8,0.7,NAN
NAN,3,7.7,0.4,NAN
27,6.7,8.1,7.2,41
29,8.2,8.4,2.9,NAN
NAN,NAN,NAN,NAN,NAN
30,5.6,7.5,2,13410
30.4,5.5,6.7,0.8,2915
30.8,5.5,7.1,1.5,6264
30.3,5.3,7.3,1.5,3080
30.1,6,7.6,1.2,6086
29.9,5.7,6.9,1,3061
29.1,6.4,7.1,1.1,7908
29.9,6.2,7.8,2,9320
29.8,6.1,7.6,1.8,9554
27.9,7,6.9,1.1,2841
28.2,6.6,6.5,1,7190
29.6,7,6.8,2,23867
28.8,7,7,1.2,2813
29.5,6.3,7.6,1.5,7069
29.8,6.7,6.8,1.2,3559
29.7,7.1,6.6,1,3527
28.7,6.7,6.6,1.3,3757
27.9,7.2,6.7,0.9,1996
29.3,4.2,6.7,2,9286
28.6,6.3,6.6,1.6,6054
29.8,5.6,7.7,1.7,3644
28.6,2.8,6.4,3.2,21036
30.6,5.2,7.1,2.6,1525
30.3,5.6,7.7,1.5,7130
30.4,5.5,7.7,1.5,12282
29.6,6.9,6.7,0.9,1132
29.6,6.3,7.6,1.7,3612
29.5,7.1,6.6,1.1,8167
26.7,6.9,7.7,3.3,163
29.3,7.2,8.2,3.3,94
28,6.9,7.7,3.7,103
28.2,6.9,7.6,3.5,79
26.5,6.4,7.4,4.3,753
20.7,6.3,8.3,2.7,157
27.2,6.7,7.8,3.6,89
27.5,6.3,7.6,4.4,98
26,5.9,7.6,5,300
26.5,7.3,7.7,3.2,93
27,3.6,7.4,30.5,745
27.3,6.3,8.3,3.3,112
28.7,7.2,7.7,3.3,89
28.4,7.1,7.5,3.4,63
28.7,7.1,7.4,38,667
28.7,7.2,7.6,3.2,51
28.7,7,7.6,3.3,63
28.7,7.2,7.6,3.4,64
28.7,7.1,7.8,3.2,88
29.3,6.8,7.7,3.6,124
28.3,6.8,7.4,3.7,124
28.7,6.8,7.6,3.3,118
29.2,6.7,7.8,4.4,138
28.7,6.8,7.7,3.9,120
27.2,6.8,8.1,3.8,85
27.2,6.8,8,3.5,98
27.2,7,8,3.6,83
28,6.9,7.9,3.5,96
26.2,7,7.6,3.5,63
26.2,7.2,7.5,3.3,88
28.2,7.2,7.7,3.3,68
24.5,6.9,7.5,2.8,82
24.5,6.7,7.7,3.3,90
24.5,7.3,7.7,2.9,88
24,6.4,7.3,1.7,788
24.9,6,7.1,1.7,538
24.3,6.3,7.1,1.3,593
24.8,6.5,7.3,1.6,545
26.4,6.7,6.6,1.2,435
27,7,6.6,1.5,435
26.6,6.7,7.3,0.8,1567
28.6,6.9,7.7,0.7,443
28.8,6.7,7.9,0.9,426
